Fund Name:,SPDR® S&P 500® ETF Trust,,,,,,,
Ticker Symbol:,SPY,,,,,,,
Holdings:,As of 11/21/2019,,,,,,,
Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,
Fidelity National Information Services Inc.,FIS,31620M10,2769796,0.325105,Information Technology,6675447.000,USD,
United Parcel Service Inc. Class B,UPS,91131210,2517382,0.324122,Industrials,7599081.000,USD,
Gilead Sciences Inc.,GILD,37555810,2369174,0.323587,Health Care,13794962.000,USD,
American Express Company,AXP,02581610,2026082,0.313773,Financials,7401027.000,USD,
Caterpillar Inc.,CAT,14912310,2180201,0.313183,Industrials,6121582.000,USD,
Booking Holdings Inc.,BKNG,09857L10,BDRXDB4,0.309250,Consumer Discretionary,462587.000,USD,
Charter Communications Inc. Class A,CHTR,16119P10,BZ6VT82,0.297998,Communication Services,1759274.000,USD,
Cigna Corporation,CI,12552310,BHJ0775,0.295189,Health Care,4110968.000,USD,
Anthem Inc.,ANTM,03675210,BSPHGL4,0.291695,Health Care,2782746.000,USD,
Mondelez International Inc. Class A,MDLZ,60920710,B8CKK03,0.291600,Consumer Staples,15692549.000,USD,
Automatic Data Processing Inc.,ADP,05301510,2065308,0.286254,Information Technology,4722310.000,USD,
CME Group Inc. Class A,CME,12572Q10,2965839,0.284800,Financials,3883669.000,USD,
TJX Companies Inc,TJX,87254010,2989301,0.277571,Consumer Discretionary,13156293.000,USD,
Goldman Sachs Group Inc.,GS,38141G10,2407966,0.274232,Financials,3521248.000,USD,
Intuit Inc.,INTU,46120210,2459020,0.273831,Information Technology,2829867.000,USD,
Chubb Limited,CB,H1467J10,B3BQMF6,0.265352,Financials,4958060.000,USD,
Dominion Energy Inc,D,25746U10,2542049,0.264970,Utilities,8943501.000,USD,
PNC Financial Services Group Inc.,PNC,69347510,2692665,0.262272,Financials,4844944.000,USD,
Becton Dickinson and Company,BDX,07588710,2087807,0.260022,Health Care,2926666.000,USD,
ConocoPhillips,COP,20825C10,2685717,0.259557,Energy,12079761.000,USD,
Intuitive Surgical Inc.,ISRG,46120E60,2871301,0.255430,Health Care,1251716.000,USD,
Southern Company,SO,84258710,2829601,0.254406,Utilities,11373434.000,USD,
Target Corporation,TGT,87612E10,2259101,0.253749,Consumer Discretionary,5570283.000,USD,
S&P Global Inc.,SPGI,78409V10,BYV2325,0.251725,Financials,2667937.000,USD,
Fiserv Inc.,FISV,33773810,2342034,0.251505,Information Technology,6177749.000,USD,
Stryker Corporation,SYK,86366710,2853688,0.250788,Health Care,3491405.000,USD,
Duke Energy Corporation,DUK,26441C20,B7VD3F2,0.244271,Utilities,7898528.000,USD,
Morgan Stanley,MS,61744644,2262314,0.238229,Financials,13668255.000,USD,
Allergan plc,AGN,G0177J10,BY9D546,0.235064,Health Care,3569342.000,USD,
Raytheon Company,RTN,75511150,2758051,0.232563,Industrials,3019689.000,USD,
Boston Scientific Corporation,BSX,10113710,2113434,0.228078,Health Care,15087646.000,USD,
Zoetis Inc. Class A,ZTS,98978V10,B95WG16,0.222179,Health Care,5178698.000,USD,
Colgate-Palmolive Company,CL,19416210,2209106,0.221995,Consumer Staples,9319359.000,USD,
Prologis Inc.,PLD,74340W10,B44WZD7,0.221711,Real Estate,6838412.000,USD,
BlackRock Inc.,BLK,09247X10,2494504,0.221243,Financials,1278318.000,USD,
Crown Castle International Corp,CCI,22822V10,BTGQCX1,0.217877,Real Estate,4507405.000,USD,
Charles Schwab Corporation,SCHW,80851310,2779397,0.216983,Financials,12659205.000,USD,
Deere & Company,DE,24419910,2261203,0.215181,Industrials,3425391.000,USD,
CSX Corporation,CSX,12640810,2160753,0.215099,Industrials,8685067.000,USD,
Vertex Pharmaceuticals Incorporated,VRTX,92532F10,2931034,0.214188,Health Care,2785105.000,USD,
Northrop Grumman Corporation,NOC,66680710,2648806,0.212822,Industrials,1712601.000,USD,
Marsh & McLennan Companies Inc.,MMC,57174810,2567741,0.210557,Financials,5507990.000,USD,
Global Payments Inc.,GPN,37940X10,2712013,0.207840,Information Technology,3264758.000,USD,
Biogen Inc.,BIIB,09062X10,2455965,0.206600,Health Care,2006958.000,USD,
Phillips 66,PSX,71854610,B78C4Y8,0.206169,Energy,4880632.000,USD,
Intercontinental Exchange Inc.,ICE,45866F10,BFSSDS9,0.204272,Financials,6096521.000,USD,
Applied Materials Inc.,AMAT,03822210,2046552,0.202455,Information Technology,10051607.000,USD,
Air Products and Chemicals Inc.,APD,00915810,2011602,0.202385,Materials,2386454.000,USD,
ServiceNow Inc.,NOW,81762P10,B80NXX8,0.202057,Information Technology,2028508.000,USD,
Illinois Tool Works Inc.,ITW,45230810,2457552,0.197312,Industrials,3202999.000,USD,
Edwards Lifesciences Corporation,EW,28176E10,2567116,0.196459,Health Care,2266879.000,USD,
Schlumberger NV,SLB,80685710,2779201,0.195909,Energy,14990932.000,USD,
Micron Technology Inc.,MU,59511210,2588184,0.195587,Information Technology,12032169.000,USD,
Norfolk Southern Corporation,NSC,65584410,2641894,0.194922,Industrials,2865551.000,USD,
DuPont de Nemours Inc.,DD,26614N10,BK0VN47,0.190558,Materials,8128687.000,USD,
Equinix Inc.,EQIX,29444U70,BVLZX12,0.184498,Real Estate,922921.000,USD,
Aon plc,AON,G0408V10,B5BT0K0,0.182056,Financials,2566146.000,USD,
Sherwin-Williams Company,SHW,82434810,2804211,0.181276,Materials,893426.000,USD,
Walgreens Boots Alliance Inc,WBA,93142710,BTN1Y44,0.178584,Consumer Staples,8255039.000,USD,
Ecolab Inc.,ECL,27886510,2304227,0.177922,Materials,2724116.000,USD,
Kimberly-Clark Corporation,KMB,49436810,2491839,0.177885,Consumer Staples,3737713.000,USD,
Illumina Inc.,ILMN,45232710,2613990,0.177502,Health Care,1589864.000,USD,
Humana Inc.,HUM,44485910,2445063,0.176943,Health Care,1464894.000,USD,
Capital One Financial Corporation,COF,14040H10,2654461,0.176347,Financials,5106461.000,USD,
American International Group Inc.,AIG,02687478,2027342,0.175808,Financials,9435811.000,USD,
Emerson Electric Co.,EMR,29101110,2313405,0.175044,Industrials,6668045.000,USD,
Simon Property Group Inc.,SPG,82880610,2812452,0.174705,Real Estate,3341426.000,USD,
American Electric Power Company Inc.,AEP,02553710,2026242,0.173408,Utilities,5335640.000,USD,
L3Harris Technologies Inc,LHX,50243110,BK9DTN5,0.172592,Industrials,2429579.000,USD,
General Motors Company,GM,37045V10,B665KZ5,0.169151,Consumer Discretionary,13671407.000,USD,
Waste Management Inc.,WM,94106L10,2937667,0.168588,Industrials,4247911.000,USD,
Exelon Corporation,EXC,30161N10,2670519,0.167249,Utilities,10557782.000,USD,
Advanced Micro Devices Inc.,AMD,00790310,2007849,0.166593,Information Technology,11812291.000,USD,
General Dynamics Corporation,GD,36955010,2365161,0.166234,Industrials,2546128.000,USD,
Estee Lauder Companies Inc. Class A,EL,51843910,2320524,0.165565,Consumer Staples,2407083.000,USD,
EOG Resources Inc.,EOG,26875P10,2318024,0.164634,Energy,6292012.000,USD,
Baxter International Inc.,BAX,07181310,2085102,0.163070,Health Care,5555614.000,USD,
Bank of New York Mellon Corporation,BK,06405810,B1Z77F6,0.161788,Financials,9334069.000,USD,
Marathon Petroleum Corporation,MPC,56585A10,B3K3L40,0.161627,Energy,7161688.000,USD,
BB&T Corporation,BBT,05493710,2830904,0.161004,Financials,8327034.000,USD,
Dollar General Corporation,DG,25667710,B5B1S13,0.160463,Consumer Discretionary,2796646.000,USD,
Activision Blizzard Inc.,ATVI,00507V10,2575818,0.159595,Communication Services,8329492.000,USD,
Valero Energy Corporation,VLO,91913Y10,2041364,0.158320,Energy,4508072.000,USD,
Ross Stores Inc.,ROST,77829610,2746711,0.158276,Consumer Discretionary,3967403.000,USD,
Progressive Corporation,PGR,74331510,2705024,0.157962,Financials,6315254.000,USD,
Sysco Corporation,SYY,87182910,2868165,0.157863,Consumer Staples,5583914.000,USD,
Analog Devices Inc.,ADI,03265410,2032067,0.156078,Information Technology,4020553.000,USD,
Dow Inc.,DOW,26055710,BHXCF84,0.155463,Materials,8085251.000,USD,
Sempra Energy,SRE,81685110,2138158,0.155297,Utilities,2964352.000,USD,
Aflac Incorporated,AFL,00105510,2026361,0.154841,Financials,8054364.000,USD,
Kinder Morgan Inc Class P,KMI,49456B10,B3NQ4P8,0.151522,Energy,21060966.000,USD,
MetLife Inc.,MET,59156R10,2573209,0.151360,Financials,8661147.000,USD,
Lam Research Corporation,LRCX,51280710,2502247,0.148114,Information Technology,1572714.000,USD,
Eaton Corp. Plc,ETN,G2918310,B8KQN82,0.147013,Industrials,4569136.000,USD,
Prudential Financial Inc.,PRU,74432010,2819118,0.146019,Financials,4373327.000,USD,
HCA Healthcare Inc,HCA,40412C10,B4MGBG6,0.143492,Health Care,2886705.000,USD,
Roper Technologies Inc.,ROP,77669610,2749602,0.142635,Industrials,1128998.000,USD,
Moody's Corporation,MCO,61536910,2252058,0.141579,Financials,1770002.000,USD,
Marriott International Inc. Class A,MAR,57190320,2210614,0.141133,Consumer Discretionary,2973971.000,USD,
FedEx Corporation,FDX,31428X10,2142784,0.140924,Industrials,2596610.000,USD,
Allstate Corporation,ALL,02000210,2019952,0.140860,Financials,3581776.000,USD,
Autodesk Inc.,ADSK,05276910,2065159,0.140679,Information Technology,2388394.000,USD,
Travelers Companies Inc.,TRV,89417E10,2769503,0.136567,Financials,2841211.000,USD,
Cognizant Technology Solutions Corporation Class A,CTSH,19244610,2257019,0.135973,Information Technology,6009778.000,USD,
Occidental Petroleum Corporation,OXY,67459910,2655408,0.135486,Energy,9704836.000,USD,
Ford Motor Company,F,34537086,2615468,0.132440,Consumer Discretionary,42608256.000,USD,
Welltower Inc.,WELL,95040Q10,BYVYHH4,0.131204,Real Estate,4403062.000,USD,
Johnson Controls International plc,JCI,G5150210,BY7QL61,0.130400,Industrials,8652654.000,USD,
O'Reilly Automotive Inc.,ORLY,67103H10,B65LWX6,0.129230,Consumer Discretionary,832585.000,USD,
Xcel Energy Inc.,XEL,98389B10,2614807,0.125632,Utilities,5705706.000,USD,
Delta Air Lines Inc.,DAL,24736170,B1W9D46,0.124292,Industrials,6297010.000,USD,
Public Storage,PSA,74460D10,2852533,0.122118,Real Estate,1623002.000,USD,
General Mills Inc.,GIS,37033410,2367026,0.121607,Consumer Staples,6510546.000,USD,
Ingersoll-Rand Plc,IR,G4779110,B633030,0.121201,Industrials,2623204.000,USD,
Newmont Goldcorp Corporation,NEM,65163910,2636607,0.121144,Materials,8884233.000,USD,
Constellation Brands Inc. Class A,STZ,21036P10,2170473,0.121075,Consumer Staples,1817880.000,USD,
SunTrust Banks Inc.,STI,86791410,2860990,0.119920,Financials,4793646.000,USD,
TE Connectivity Ltd.,TEL,H8498910,B62B7C3,0.118744,Information Technology,3662518.000,USD,
Public Service Enterprise Group Inc,PEG,74457310,2707677,0.118476,Utilities,5467521.000,USD,
Amphenol Corporation Class A,APH,03209510,2145084,0.117979,Information Technology,3248137.000,USD,
Yum! Brands Inc.,YUM,98849810,2098876,0.115788,Consumer Discretionary,3314170.000,USD,
PPG Industries Inc.,PPG,69350610,2698470,0.115131,Materials,2566953.000,USD,
Equity Residential,EQR,29476L10,2319157,0.115128,Real Estate,3793155.000,USD,
AvalonBay Communities Inc.,AVB,05348410,2131179,0.115072,Real Estate,1516064.000,USD,
ONEOK Inc.,OKE,68268010,2130109,0.114022,Energy,4473644.000,USD,
Electronic Arts Inc.,EA,28551210,2310194,0.113280,Communication Services,3206028.000,USD,
HP Inc.,HPQ,40434L10,BYX4D52,0.113074,Information Technology,16124814.000,USD,
Zimmer Biomet Holdings Inc.,ZBH,98956P10,2783815,0.112304,Health Care,2211172.000,USD,
Consolidated Edison Inc.,ED,20911510,2216850,0.111990,Utilities,3614543.000,USD,
IHS Markit Ltd.,INFO,G4756710,BD0Q558,0.111550,Industrials,4364426.000,USD,
Cummins Inc.,CMI,23102110,2240202,0.110788,Industrials,1716883.000,USD,
AutoZone Inc.,AZO,05333210,2065955,0.110651,Consumer Discretionary,266731.000,USD,
TransDigm Group Incorporated,TDG,89364110,B11FJK3,0.110482,Industrials,540164.000,USD,
Hilton Worldwide Holdings Inc,HLT,43300A20,BYVMW06,0.110342,Consumer Discretionary,3120670.000,USD,
T. Rowe Price Group,TROW,74144T10,2702337,0.110133,Financials,2571118.000,USD,
McKesson Corporation,MCK,58155Q10,2378534,0.109322,Health Care,2011944.000,USD,
Regeneron Pharmaceuticals Inc.,REGN,75886F10,2730190,0.108840,Health Care,869452.000,USD,
WEC Energy Group Inc,WEC,92939U10,BYY8XK8,0.107530,Utilities,3411268.000,USD,
eBay Inc.,EBAY,27864210,2293819,0.106977,Consumer Discretionary,8579504.000,USD,
V.F. Corporation,VFC,91820410,2928683,0.106819,Consumer Discretionary,3529778.000,USD,
PACCAR Inc,PCAR,69371810,2665861,0.106561,Industrials,3742341.000,USD,
Williams Companies Inc.,WMB,96945710,2967181,0.106527,Energy,13098174.000,USD,
Southwest Airlines Co.,LUV,84474110,2831543,0.106285,Industrials,5262883.000,USD,
State Street Corporation,STT,85747710,2842040,0.105704,Financials,4056985.000,USD,
Motorola Solutions Inc.,MSI,62007630,B5BKPQ4,0.105533,Information Technology,1791601.000,USD,
Paychex Inc.,PAYX,70432610,2674458,0.104955,Information Technology,3461643.000,USD,
SBA Communications Corp. Class A,SBAC,78410G10,BZ6TS23,0.104075,Real Estate,1226849.000,USD,
Discover Financial Services,DFS,25470910,B1YLC43,0.102469,Financials,3462784.000,USD,
Eversource Energy,ES,30040W10,BVVN4Q8,0.102448,Utilities,3491550.000,USD,
IQVIA Holdings Inc,IQV,46266C10,BDR73G1,0.101502,Health Care,1982342.000,USD,
Tyson Foods Inc. Class A,TSN,90249410,2909730,0.101280,Consumer Staples,3205728.000,USD,
KLA Corporation,KLAC,48248010,2480138,0.099900,Information Technology,1732391.000,USD,
Dollar Tree Inc.,DLTR,25674610,2272476,0.099218,Consumer Discretionary,2574431.000,USD,
Edison International,EIX,28102010,2829515,0.098741,Utilities,3896470.000,USD,
FleetCor Technologies Inc.,FLT,33904110,B4R28B3,0.098510,Information Technology,934879.000,USD,
Parker-Hannifin Corporation,PH,70109410,2671501,0.097937,Industrials,1394565.000,USD,
FirstEnergy Corp.,FE,33793210,2100920,0.097797,Utilities,5875701.000,USD,
Digital Realty Trust Inc.,DLR,25386810,B03GQS4,0.096140,Real Estate,2247990.000,USD,
Centene Corporation,CNC,15135B10,2807061,0.095205,Health Care,4469427.000,USD,
T-Mobile US Inc.,TMUS,87259010,B94Q9V0,0.094998,Communication Services,3425982.000,USD,
Alexion Pharmaceuticals Inc.,ALXN,01535110,2036070,0.094996,Health Care,2430340.000,USD,
Willis Towers Watson Public Limited Company,WLTW,G9662910,BDB6Q21,0.094644,Financials,1396348.000,USD,
PPL Corporation,PPL,69351T10,2680905,0.094295,Utilities,7847599.000,USD,
Agilent Technologies Inc.,A,00846U10,2520153,0.094092,Health Care,3367313.000,USD,
LyondellBasell Industries NV,LYB,N5374510,B3SPXZ3,0.093564,Materials,2808899.000,USD,
Realty Income Corporation,O,75610910,2724193,0.093459,Real Estate,3423382.000,USD,
Archer-Daniels-Midland Company,ADM,03948310,2047317,0.092701,Consumer Staples,6066389.000,USD,
Verisk Analytics Inc,VRSK,92345Y10,B4P9W92,0.091446,Industrials,1773946.000,USD,
Stanley Black & Decker Inc.,SWK,85450210,B3Q2FJ4,0.090892,Industrials,1642241.000,USD,
Entergy Corporation,ETR,29364G10,2317087,0.089484,Utilities,2163500.000,USD,
Twitter Inc.,TWTR,90184L10,BFLR866,0.089422,Communication Services,8411336.000,USD,
Northern Trust Corporation,NTRS,66585910,2648668,0.089107,Financials,2337733.000,USD,
Xilinx Inc.,XLNX,98391910,2985677,0.088847,Information Technology,2752191.000,USD,
Rockwell Automation Inc.,ROK,77390310,2754060,0.088683,Industrials,1273016.000,USD,
Aptiv PLC,APTV,G6095L10,B783TY6,0.088509,Consumer Discretionary,2787002.000,USD,
Monster Beverage Corporation,MNST,61174X10,BZ07BW4,0.087713,Consumer Staples,4208673.000,USD,
DTE Energy Company,DTE,23333110,2280220,0.087430,Utilities,1985834.000,USD,
Synchrony Financial,SYF,87165B10,BP96PS6,0.087151,Financials,6641611.000,USD,
IDEXX Laboratories Inc.,IDXX,45168D10,2459202,0.086704,Health Care,931988.000,USD,
Corning Inc,GLW,21935010,2224701,0.086697,Information Technology,8509213.000,USD,
Hewlett Packard Enterprise Co.,HPE,42824C10,BYVYWS0,0.086593,Information Technology,14206532.000,USD,
Hartford Financial Services Group Inc.,HIG,41651510,2476193,0.086172,Financials,3918026.000,USD,
AMETEK Inc.,AME,03110010,2089212,0.086000,Industrials,2462310.000,USD,
Ball Corporation,BLL,05849810,2073022,0.085278,Materials,3611885.000,USD,
Pioneer Natural Resources Company,PXD,72378710,2690830,0.085175,Energy,1825572.000,USD,
Hershey Company,HSY,42786610,2422806,0.084771,Consumer Staples,1620898.000,USD,
Cerner Corporation,CERN,15678210,2185284,0.084636,Health Care,3463764.000,USD,
M&T Bank Corporation,MTB,55261F10,2340168,0.084633,Financials,1454579.000,USD,
Fifth Third Bancorp,FITB,31677310,2336747,0.084024,Financials,7906282.000,USD,
Weyerhaeuser Company,WY,96216610,2958936,0.083461,Real Estate,8056156.000,USD,
American Water Works Company Inc.,AWK,03042010,B2R3PV1,0.083386,Utilities,1957954.000,USD,
Microchip Technology Incorporated,MCHP,59501710,2592174,0.083244,Information Technology,2563344.000,USD,
MSCI Inc. Class A,MSCI,55354G10,B2972D2,0.083184,Financials,911879.000,USD,
Kroger Co.,KR,50104410,2497406,0.082801,Consumer Staples,8689920.000,USD,
Ventas Inc.,VTR,92276F10,2927925,0.082408,Real Estate,4016705.000,USD,
Cintas Corporation,CTAS,17290810,2197137,0.081739,Industrials,903068.000,USD,
Fortive Corp.,FTV,34959J10,BYT3MK1,0.081171,Industrials,3206756.000,USD,
ResMed Inc.,RMD,76115210,2732903,0.080932,Health Care,1549712.000,USD,
Ameriprise Financial Inc.,AMP,03076C10,B0J7D57,0.080308,Financials,1423824.000,USD,
Las Vegas Sands Corp.,LVS,51783410,B02T2J7,0.080271,Consumer Discretionary,3727141.000,USD,
ANSYS Inc.,ANSS,03662Q10,2045623,0.080256,Information Technology,912779.000,USD,
Synopsys Inc.,SNPS,87160710,2867719,0.080155,Information Technology,1618550.000,USD,
Essex Property Trust Inc.,ESS,29717810,2316619,0.080056,Real Estate,711598.000,USD,
McCormick & Company Incorporated,MKC,57978020,2550161,0.078772,Consumer Staples,1326281.000,USD,
Royal Caribbean Cruises Ltd.,RCL,V7780T10,2754907,0.078667,Consumer Discretionary,1857255.000,USD,
United Airlines Holdings Inc.,UAL,91004710,B4QG225,0.078012,Industrials,2403031.000,USD,
Fastenal Company,FAST,31190010,2332262,0.077726,Industrials,6198060.000,USD,
CDW Corp.,CDW,12514G10,BBM5MD6,0.077317,Information Technology,1574638.000,USD,
VeriSign Inc.,VRSN,92343E10,2142922,0.076796,Information Technology,1137689.000,USD,
Keysight Technologies Inc,KEYS,49338L10,BQZJ0Q9,0.076738,Information Technology,2033398.000,USD,
Align Technology Inc.,ALGN,01625510,2679204,0.076651,Health Care,789260.000,USD,
Chipotle Mexican Grill Inc.,CMG,16965610,B0X7DZ3,0.076614,Consumer Discretionary,277564.000,USD,
Boston Properties Inc.,BXP,10112110,2019479,0.076331,Real Estate,1564104.000,USD,
KeyCorp,KEY,49326710,2490911,0.074364,Financials,10910020.000,USD,
Cadence Design Systems Inc.,CDNS,12738710,2302232,0.073269,Information Technology,3055895.000,USD,
Corteva Inc,CTVA,22052L10,BK73B42,0.072844,Materials,8129067.000,USD,
Kraft Heinz Company,KHC,50075410,BYRY499,0.072689,Consumer Staples,6735631.000,USD,
Vulcan Materials Company,VMC,92916010,2931205,0.072075,Materials,1436158.000,USD,
CBRE Group Inc. Class A,CBRE,12504L10,B6WVMH3,0.071545,Real Estate,3659752.000,USD,
Republic Services Inc.,RSG,76075910,2262530,0.071298,Industrials,2303037.000,USD,
Ameren Corporation,AEE,02360810,2050832,0.070998,Utilities,2645928.000,USD,
Halliburton Company,HAL,40621610,2405302,0.070978,Energy,9412823.000,USD,
Clorox Company,CLX,18905410,2204026,0.070792,Consumer Staples,1367880.000,USD,
First Republic Bank,FRC,33616C10,B4WHY15,0.070423,Financials,1830412.000,USD,
D.R. Horton Inc.,DHI,23331A10,2250687,0.070279,Consumer Discretionary,3653019.000,USD,
Alexandria Real Estate Equities Inc.,ARE,01527110,2009210,0.069212,Real Estate,1219692.000,USD,
Copart Inc.,CPRT,21720410,2208073,0.068513,Industrials,2185364.000,USD,
CMS Energy Corporation,CMS,12589610,2219224,0.068204,Utilities,3085058.000,USD,
International Paper Company,IP,46014610,2465254,0.068155,Materials,4273449.000,USD,
Mettler-Toledo International Inc.,MTD,59268810,2126249,0.067686,Health Care,269005.000,USD,
Hess Corporation,HES,42809H10,2023748,0.067243,Energy,2816118.000,USD,
Carnival Corporation,CCL,14365830,2523044,0.066336,Consumer Discretionary,4320910.000,USD,
Citizens Financial Group Inc.,CFG,17461010,BQRX1X3,0.066166,Financials,4865072.000,USD,
Arthur J. Gallagher & Co.,AJG,36357610,2359506,0.065996,Financials,2007932.000,USD,
Omnicom Group Inc,OMC,68191910,2279303,0.065823,Communication Services,2366209.000,USD,
